group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
CH,cCH2,570.4500,5.040100,5.040100e-10,12.3236,6.0000,4.829893,4.829893e-10,3.858000,-2.776131e+03,database,CR,CR,CR
CH,cCH,258.6572,5.353300,5.353300e-10,8.0000,6.0000,5.128924,5.128924e-10,9.481481,-1.778201e+03,CR,CR,CR,CR
CH,cNH,245.4713,5.138000,5.138000e-10,12.0805,6.0000,4.929116,4.929116e-10,3.963307,-1.216551e+03,CR,CR,CR,CR
CH,cN,128.0853,4.953500,4.953500e-10,7.4735,6.0000,4.606315,4.606315e-10,12.403147,-8.924146e+02,CR,CR,CR,CR
CH,cCHNH,257.0134,5.397500,5.397500e-10,8.5845,6.0000,5.177220,5.177220e-10,7.629222,-1.656442e+03,CR,CR,CR,CR
CH,cCHN,257.5885,4.870214,4.870214e-10,8.0008,6.0000,4.649262,4.649262e-10,9.478251,-1.761700e+03,CR,CR,CR,CR
C,C,50.0200,5.657100,5.657100e-10,8.0000,6.0000,5.109297,5.109297e-10,9.481481,-2.664177e+02,self,self,self,self
C,CH2OH,129.7106,4.531250,4.531250e-10,12.9245,6.0000,4.255871,4.255871e-10,3.629067,-5.263613e+02,CR,CR,CR,CR
C,CH2OH_Short,129.7106,4.531250,4.531250e-10,12.9245,6.0000,4.255871,4.255871e-10,3.629067,-5.263613e+02,CR,CR,CR,CR
C,NH2,106.4887,4.452420,4.452420e-10,9.0224,6.0000,4.134872,4.134872e-10,6.709490,-5.820226e+02,CR,CR,CR,CR
C,NH,63.1745,4.456946,4.456946e-10,12.2193,6.0000,4.113997,4.113997e-10,3.902197,-2.165423e+02,CR,CR,CR,CR
C,N,48.9287,4.366294,4.366294e-10,8.4300,6.0000,3.956272,3.956272e-10,8.032436,-2.437781e+02,CR,CR,CR,CR
C,OH,119.4270,4.228050,4.228050e-10,12.4080,6.0000,3.952112,3.952112e-10,3.823312,-4.797599e+02,CR,CR,CR,CR
C,OH_Short,119.4442,4.228450,4.228450e-10,12.4080,6.0000,3.952512,3.952512e-10,3.823312,-4.798641e+02,CR,CR,CR,CR
