Group_k,Group_l,eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl,C_kl (Mie prefactor),source_eps,source_sigma,source_lambdaR,source_lambdaA
NH2,cCH,405.3020,4.3297,4.2700,9.0224,6.0000,6.709490,CR,CR,CR,CR
NH2,cNH,396.3025,4.1144,4.0702,13.9372,6.0000,3.320471,CR,CR,CR,CR
NH2,cN,212.6450,3.9299,3.7474,8.3882,6.0000,8.150641,CR,CR,CR,CR
NH2,cCHNH,101.6112,4.3739,4.3183,9.7264,6.0000,5.681567,database,CR,CR,CR
NH2,cCHN,433.4098,3.8466,3.7903,9.0233,6.0000,6.707780,CR,CR,CR,CR
NH,NH,100.0029,3.2568,3.1187,19.9990,6.0000,2.393365,self,self,self,self
NH,N,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
NH,OH,188.6100,3.0279,2.9568,20.3469,6.0000,2.363390,database,CR,CR,CR
NH,OH_Short,188.6078,3.0283,2.9572,20.3469,6.0000,2.363390,database,CR,CR,CR
NH,cCH2,549.4246,4.0210,3.9501,20.1914,6.0000,2.376613,database,CR,CR,CR
NH,cCH,240.4249,4.3342,4.2491,12.2193,6.0000,3.902197,CR,CR,CR,CR
NH,cNH,235.0479,4.1189,4.0493,19.7430,6.0000,2.416352,CR,CR,CR,CR
NH,cN,126.1007,3.9344,3.7265,11.2484,6.0000,4.396300,CR,CR,CR,CR
NH,cCHNH,237.5223,4.3784,4.2974,13.2971,6.0000,3.505745,CR,CR,CR,CR
NH,cCHN,256.9973,3.8511,3.7694,12.2207,6.0000,3.901570,CR,CR,CR,CR
N,N,62.9706,3.0755,2.8032,8.8971,6.0000,6.944421,self,self,self,self
N,OH,260.9900,2.9372,2.7991,13.2171,6.0000,3.531141,database,CR,CR,CR
N,OH_Short,260.9902,2.9376,2.7995,13.2171,6.0000,3.531141,database,CR,CR,CR
N,cCH2,650.2408,3.9303,3.7924,13.1255,6.0000,3.560940,database,CR,CR,CR
N,cCH,186.5381,4.2435,4.0914,8.4300,6.0000,8.032436,CR,CR,CR,CR
N,cNH,182.9785,4.0282,3.8916,12.8615,6.0000,3.651222,CR,CR,CR,CR
N,cN,98.4774,3.8437,3.5688,7.8582,6.0000,10.105615,CR,CR,CR,CR
N,cCHNH,184.1669,4.2877,4.1397,9.0649,6.0000,6.634159,CR,CR,CR,CR
N,cCHN,201.0077,3.7605,3.6117,8.4309,6.0000,8.030056,CR,CR,CR,CR
OH,OH,410.3100,2.7990,2.7949,20.7020,6.0000,2.334217,self,self,self,self
OH,OH_Short,410.3095,2.7994,2.7953,20.7020,6.0000,2.334217,CR,CR,CR,CR
OH,cCH2,376.5700,3.7921,3.7882,20.5433,6.0000,2.347087,database,CR,CR,CR
OH,cCH,456.6037,4.1053,4.0872,12.4080,6.0000,3.823312,CR,CR,CR,CR
OH,cNH,450.3177,3.8900,3.8874,20.0857,6.0000,2.385758,CR,CR,CR,CR
OH,cN,243.6016,3.7055,3.5646,11.4173,6.0000,4.297824,CR,CR,CR,CR
OH,cCHNH,450.3304,4.1495,4.1355,13.5078,6.0000,3.441317,CR,CR,CR,CR
OH,cCHN,498.4632,3.6222,3.6076,12.4095,6.0000,3.822709,CR,CR,CR,CR
OH_Short,OH_Short,410.3090,2.7998,2.7957,20.7020,6.0000,2.334217,self,self,self,self
OH_Short,cCH2,397.8720,3.7925,3.7886,20.5433,6.0000,2.347087,CR,CR,CR,CR
OH_Short,cCH,456.6654,4.1057,4.0876,12.4080,6.0000,3.823312,CR,CR,CR,CR
OH_Short,cNH,450.3713,3.8904,3.8878,20.0857,6.0000,2.385758,CR,CR,CR,CR
OH_Short,cN,243.6269,3.7059,3.5650,11.4173,6.0000,4.297824,CR,CR,CR,CR
OH_Short,cCHNH,450.3927,4.1499,4.1359,13.5078,6.0000,3.441317,CR,CR,CR,CR
OH_Short,cCHN,498.5111,3.6226,3.6080,12.4095,6.0000,3.822709,CR,CR,CR,CR
cCH2,cCH2,477.3620,4.7852,4.7815,20.3860,6.0000,2.360112,self,self,self,self
cCH2,cCH,321.7053,5.0984,5.0805,12.3236,6.0000,3.858000,database,CR,CR,CR
cCH2,cNH,605.4529,4.8831,4.8807,19.9326,6.0000,2.399254,database,CR,CR,CR
cCH2,cN,536.6580,4.6986,4.5579,11.3418,6.0000,4.341082,database,CR,CR,CR
cCH2,cCHNH,486.8825,5.1426,5.1288,13.4136,6.0000,3.469671,database,CR,CR,CR
cCH2,cCHN,750.0597,4.6153,4.6008,12.3251,6.0000,3.857386,database,CR,CR,CR
cCH,cCH,699.9232,5.4116,5.3795,8.0000,6.0000,9.481481,self,self,self,self
cCH,cNH,663.3436,5.1963,5.1797,12.0805,6.0000,3.963307,CR,CR,CR,CR
cCH,cN,345.6947,5.0118,4.8569,7.4735,6.0000,12.403147,CR,CR,CR,CR
cCH,cCHNH,695.6593,5.4558,5.4278,8.5845,6.0000,7.629222,CR,CR,CR,CR
cCH,cCHN,694.8015,4.9285,4.8999,8.0008,6.0000,9.478251,CR,CR,CR,CR
cNH,cNH,631.9247,4.9810,4.9799,19.4909,6.0000,2.439818,self,self,self,self
cNH,cN,812.2646,4.7965,4.6571,11.1242,6.0000,4.472835,database,CR,CR,CR
cNH,cCHNH,658.6391,5.2405,5.2280,13.1420,6.0000,3.555526,CR,CR,CR,CR
cNH,cCHN,666.5780,4.7132,4.7001,12.0819,6.0000,3.962662,CR,CR,CR,CR
cN,cN,174.0414,4.6120,4.3343,7.0024,6.0000,17.612296,self,self,self,self
cN,cCHNH,342.9235,5.0560,4.9052,7.9965,6.0000,9.496008,CR,CR,CR,CR
cN,cCHN,351.3424,4.5287,4.3773,7.4742,6.0000,12.397830,CR,CR,CR,CR
cCHNH,cCHNH,691.5576,5.5000,5.4761,9.2374,6.0000,6.348430,self,self,self,self
cCHNH,cCHN,688.9263,4.9727,4.9482,8.5854,6.0000,7.627057,CR,CR,CR,CR
cCHN,cCHN,709.9852,4.4454,4.4202,8.0016,6.0000,9.475022,self,self,self,self
