Group_k,Group_l,a1_kl [K.m^3],Delta_kl [m^3],eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl
CH2,C,-1.383255e+03,0.000000e+00,300.0700,5.2686,4.9924,12.1845,6.0000
CH2,CH2OH,-1.794358e+03,0.000000e+00,423.1700,4.1427,4.1389,21.2303,6.0000
CH2,CH2OH_Short,-1.794358e+03,0.000000e+00,423.1700,4.1427,4.1389,21.2303,6.0000
CH2,NH2,-1.712668e+03,0.000000e+00,348.3891,4.0639,4.0179,14.0625,6.0000
CH2,NH,-1.664120e+03,0.000000e+00,394.5846,4.0684,3.9971,19.9349,6.0000
CH2,N,-1.689911e+03,0.000000e+00,348.3000,3.9778,3.8393,12.9745,6.0000
CH2,OH,-1.705058e+03,0.000000e+00,396.2700,3.8395,3.8352,20.2815,6.0000
CH2,OH_Short,-1.705058e+03,0.000000e+00,396.2700,3.8399,3.8356,20.2815,6.0000
CH2,cCH2,-2.026130e+03,0.000000e+00,469.6700,4.8326,4.8285,20.1266,6.0000
CH2,cCH,-2.760293e+03,0.000000e+00,522.5720,5.1458,5.1275,12.1845,6.0000
CH2,cNH,-1.866747e+03,0.000000e+00,429.4901,4.9305,4.9277,19.6799,6.0000
CH2,cN,-2.737838e+03,0.000000e+00,508.5420,4.7460,4.6049,11.2173,6.0000
CH2,cCHNH,-1.571911e+03,0.000000e+00,309.9482,5.1900,5.1758,13.2582,6.0000
CH2,cCHN,-4.719292e+03,0.000000e+00,893.4988,4.6628,4.6478,12.1860,6.0000
CH,CH,-5.848623e+02,0.000000e+00,95.6210,5.2950,4.8783,8.0000,6.0000
CH,C,-1.150273e+01,0.000000e+00,2.0000,5.4760,4.9938,8.0000,6.0000
CH,CH2OH,-1.492636e+03,0.000000e+00,329.2200,4.3502,4.1404,12.9245,6.0000
CH,CH2OH_Short,-1.492636e+03,0.000000e+00,329.2200,4.3502,4.1404,12.9245,6.0000
CH,NH2,-8.811743e+02,0.000000e+00,151.0092,4.2714,4.0194,9.0224,6.0000
CH,NH,-3.675975e+02,0.000000e+00,89.5747,4.2759,3.9985,12.2193,6.0000
CH,N,-3.854470e+02,0.000000e+00,69.5590,4.1852,3.8408,8.4300,6.0000
CH,OH,-9.026561e+02,0.000000e+00,198.0800,4.0470,3.8366,12.4080,6.0000
CH,OH_Short,-9.026887e+02,0.000000e+00,198.0800,4.0474,3.8370,12.4080,6.0000
CH,cCH2,-2.776131e+03,0.000000e+00,570.4500,5.0401,4.8299,12.3236,6.0000
CH,cCH,-1.778201e+03,0.000000e+00,258.6572,5.3533,5.1289,8.0000,6.0000
CH,cNH,-1.216551e+03,0.000000e+00,245.4713,5.1380,4.9291,12.0805,6.0000
CH,cN,-8.924146e+02,0.000000e+00,128.0853,4.9535,4.6063,7.4735,6.0000
CH,cCHNH,-1.656442e+03,0.000000e+00,257.0134,5.3975,5.1772,8.5845,6.0000
CH,cCHN,-1.761700e+03,0.000000e+00,257.5885,4.8702,4.6493,8.0008,6.0000
C,C,-2.664177e+02,0.000000e+00,50.0200,5.6571,5.1093,8.0000,6.0000
C,CH2OH,-5.263613e+02,0.000000e+00,129.7106,4.5312,4.2559,12.9245,6.0000
C,CH2OH_Short,-5.263613e+02,0.000000e+00,129.7106,4.5312,4.2559,12.9245,6.0000
C,NH2,-5.820226e+02,0.000000e+00,106.4887,4.4524,4.1349,9.0224,6.0000
C,NH,-2.165423e+02,0.000000e+00,63.1745,4.4569,4.1140,12.2193,6.0000
C,N,-2.437781e+02,0.000000e+00,48.9287,4.3663,3.9563,8.4300,6.0000
C,OH,-4.797599e+02,0.000000e+00,119.4270,4.2280,3.9521,12.4080,6.0000
C,OH_Short,-4.798641e+02,0.000000e+00,119.4442,4.2284,3.9525,12.4080,6.0000
C,cCH2,-6.964192e+02,0.000000e+00,152.9108,5.2211,4.9454,12.3236,6.0000
C,cCH,-1.261880e+03,0.000000e+00,186.9720,5.5343,5.2444,8.0000,6.0000
C,cNH,-8.249902e+02,0.000000e+00,176.7127,5.3190,5.0446,12.0805,6.0000
C,cN,-6.144321e+02,0.000000e+00,91.8577,5.1346,4.7218,7.4735,6.0000
C,cCHNH,-1.171166e+03,0.000000e+00,185.9332,5.5786,5.2927,8.5845,6.0000
C,cCHN,-1.231369e+03,0.000000e+00,184.3985,5.0513,4.7647,8.0008,6.0000
CH2OH,CH2OH,-1.691398e+03,5.405249e-25,407.2200,3.4054,3.4024,22.6990,6.0000
CH2OH,CH2OH_Short,-1.691398e+03,2.702679e-25,407.2200,3.4054,3.4024,22.6990,6.0000
CH2OH,NH2,-1.715141e+03,3.321643e-25,528.2100,3.3266,3.2814,52.3050,6.0000
CH2OH,NH,-1.271960e+03,3.623243e-25,313.2500,3.3311,3.2606,21.2993,6.0000
CH2OH,N,-1.985058e+03,5.647844e-26,440.9900,3.2404,3.1028,13.7781,6.0000
CH2OH,OH,-1.697295e+03,5.606677e-25,402.9190,3.1022,3.0987,21.6738,6.0000
CH2OH,OH_Short,-1.697363e+03,2.803265e-25,402.9354,3.1026,3.0991,21.6738,6.0000
CH2OH,cCH2,-1.783299e+03,0.000000e+00,422.2636,4.0953,4.0920,21.5064,6.0000
CH2OH,cCH,-2.529801e+03,0.000000e+00,492.9558,4.4085,4.3910,12.9245,6.0000
CH2OH,cNH,-2.044724e+03,1.112330e-25,480.6594,4.1932,4.1912,21.0237,6.0000
CH2OH,cN,-1.316649e+03,0.000000e+00,257.2269,4.0087,3.8684,11.8794,6.0000
CH2OH,cCHNH,-2.404713e+03,1.822126e-25,487.2531,4.4527,4.4393,14.0847,6.0000
CH2OH,cCHN,-2.687063e+03,0.000000e+00,523.6069,3.9254,3.9113,12.9260,6.0000
CH2OH_Short,CH2OH_Short,-1.691398e+03,5.405467e-25,407.2200,3.4054,3.4024,22.6990,6.0000
CH2OH_Short,NH2,-1.623297e+03,1.677088e-25,340.2563,3.3266,3.2814,14.9538,6.0000
CH2OH_Short,NH,-8.188021e+02,5.775200e-26,201.6493,3.3311,3.2606,21.2993,6.0000
CH2OH_Short,N,-7.180217e+02,0.000000e+00,159.5119,3.2404,3.1028,13.7781,6.0000
CH2OH_Short,OH,-1.697295e+03,1.121358e-24,402.9190,3.1022,3.0987,21.6738,6.0000
CH2OH_Short,OH_Short,-1.697363e+03,5.606644e-25,402.9354,3.1026,3.0991,21.6738,6.0000
